time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-05-01T00:00:00.0000000Z,2019-05-01T01:00:00.0000000Z,2019-05-01T00:00:00.0000000Z,2019-05-01T00:59:59.0000000Z,5599.52273017,5884.55,5120,5309.32103727,4500.839298369,11164
2019-05-01T01:00:00.0000000Z,2019-05-01T02:00:00.0000000Z,2019-05-01T01:00:00.0000000Z,2019-05-01T01:59:59.9900000Z,5620.41133991,5876.76,5120,5303.57,2457.825006655,6383
2019-05-01T02:00:00.0000000Z,2019-05-01T03:00:00.0000000Z,2019-05-01T02:00:01.0000000Z,2019-05-01T02:59:59.3420000Z,5619.37025603,5898.71,5119,5326.2,3305.252688821,6757
2019-05-01T03:00:00.0000000Z,2019-05-01T04:00:00.0000000Z,2019-05-01T03:00:00.3080000Z,2019-05-01T03:59:59.9480000Z,5326.2,5897.03,5116,5315.59,3172.16227535,5746
2019-05-01T04:00:00.0000000Z,2019-05-01T05:00:00.0000000Z,2019-05-01T04:00:00.0000000Z,2019-05-01T04:59:59.0000000Z,5295.34469605,5891.65,5103,5319.27489676,2686.470413891,5515
2019-05-01T05:00:00.0000000Z,2019-05-01T06:00:00.0000000Z,2019-05-01T05:00:01.9060000Z,2019-05-01T05:59:58.5820000Z,5295.08,5893.98,5103,5299.89,2254.146044155,4998
2019-05-01T06:00:00.0000000Z,2019-05-01T07:00:00.0000000Z,2019-05-01T06:00:05.5190000Z,2019-05-01T06:59:58.0000000Z,5298.65,5889.95,5109,5285.43798262,2373.691800456,4108
2019-05-01T07:00:00.0000000Z,2019-05-01T08:00:00.0000000Z,2019-05-01T07:00:01.4990000Z,2019-05-01T07:59:58.9150000Z,5320,5889.17,5116,5309.3,2555.17260407,5011
2019-05-01T08:00:00.0000000Z,2019-05-01T09:00:00.0000000Z,2019-05-01T08:00:00.0000000Z,2019-05-01T08:59:59.0070000Z,5310.11,5879.86,5251.57684645,5294.76,3301.518242804,5944
2019-05-01T09:00:00.0000000Z,2019-05-01T10:00:00.0000000Z,2019-05-01T09:00:00.0000000Z,2019-05-01T09:59:59.0000000Z,5613.9,6446.9618,5244.5338,5506.69906479,2785.5555163,4347
