"time_period_start","time_period_end","time_open","time_close","price_open","price_high","price_low","price_close","volume_traded","trades_count"
"2019-04-01T00:00:00.0000000Z","2019-04-01T01:00:00.0000000Z","2019-04-01T00:00:00.2600000Z","2019-04-01T00:59:59.6060000Z","4095.0","4745.1","4032.65021","4101.73","6069.065183895","10185"
"2019-04-01T01:00:00.0000000Z","2019-04-01T02:00:00.0000000Z","2019-04-01T01:00:00.9900000Z","2019-04-01T01:59:59.2100000Z","4111.01","4762.67","3900.0","4115.79","4387.643461342","8302"
"2019-04-01T02:00:00.0000000Z","2019-04-01T03:00:00.0000000Z","2019-04-01T02:00:00.0000000Z","2019-04-01T02:59:59.0000000Z","4097.10109183","4750.99","4042.20001","4102.1353835","2520.700255628","5581"
"2019-04-01T03:00:00.0000000Z","2019-04-01T04:00:00.0000000Z","2019-04-01T03:00:00.1520000Z","2019-04-01T03:59:59.0000000Z","4121.19","4761.77","4034.13315","4123.04","2693.911952043","5896"
"2019-04-01T04:00:00.0000000Z","2019-04-01T05:00:00.0000000Z","2019-04-01T04:00:00.0000000Z","2019-04-01T04:59:59.9600000Z","4124.02","4755.02","4058.0","4125.16","2197.304349428","5078"
"2019-04-01T05:00:00.0000000Z","2019-04-01T06:00:00.0000000Z","2019-04-01T05:00:01.0000000Z","2019-04-01T05:59:59.0000000Z","4123.74","4753.73","3900.0","4129.91400141","2387.779337476","4052"
"2019-04-01T06:00:00.0000000Z","2019-04-01T07:00:00.0000000Z","2019-04-01T06:00:04.0000000Z","2019-04-01T06:59:57.0000000Z","4122.11","4754.75","4036.32","4122.81404304","2592.137817698","4694"
"2019-04-01T07:00:00.0000000Z","2019-04-01T08:00:00.0000000Z","2019-04-01T07:00:00.5500000Z","2019-04-01T07:59:59.0000000Z","4128.4","4756.56","3925.0","4122.79","2874.78119408","5390"
"2019-04-01T08:00:00.0000000Z","2019-04-01T09:00:00.0000000Z","2019-04-01T08:00:00.0000000Z","2019-04-01T08:59:59.8810000Z","4122.79","4749.88","4049.14041","4120.05","2286.726691595","3835"
"2019-04-01T09:00:00.0000000Z","2019-04-01T10:00:00.0000000Z","2019-04-01T09:00:00.0000000Z","2019-04-01T09:59:59.0000000Z","4191.1","4751.79","4048.13348","4215.07424754","1766.625976512","3826"
"2019-04-01T10:00:00.0000000Z","2019-04-01T11:00:00.0000000Z","2019-04-01T10:00:00.0000000Z","2019-04-01T10:59:59.8660000Z","4122.67828675","4750.78","4058.00001","4115.42","1965.843701985","4065"
"2019-04-01T11:00:00.0000000Z","2019-04-01T12:00:00.0000000Z","2019-04-01T11:00:00.1100000Z","2019-04-01T11:59:59.0000000Z","4115.29","4744.34","4063.66901","4111.03","2371.478359541","4408"
"2019-04-01T12:00:00.0000000Z","2019-04-01T13:00:00.0000000Z","2019-04-01T12:00:00.5040000Z","2019-04-01T12:59:54.0000000Z","4113.01","4754.37","4057.68734","4118.39","2571.83345204","5329"
"2019-04-01T13:00:00.0000000Z","2019-04-01T14:00:00.0000000Z","2019-04-01T13:00:00.0000000Z","2019-04-01T13:59:59.0000000Z","4240.00000009","4763.56","4060.0","4201.94231504","2577.76341983","5486"
"2019-04-01T14:00:00.0000000Z","2019-04-01T15:00:00.0000000Z","2019-04-01T14:00:00.0000000Z","2019-04-01T14:59:59.1340000Z","4116.62101301","4772.19","4060.0","4135.0","4469.98712899","8582"
"2019-04-01T15:00:00.0000000Z","2019-04-01T16:00:00.0000000Z","2019-04-01T15:00:00.0000000Z","2019-04-01T15:59:59.9180000Z","4111.9762982","4769.19","4067.79823","4138.72","3158.441067712","6511"
"2019-04-01T16:00:00.0000000Z","2019-04-01T17:00:00.0000000Z","2019-04-01T16:00:00.0000000Z","2019-04-01T16:59:59.0000000Z","4118.81737231","4773.65","4059.83919","4180.0","2775.164818104","6342"
"2019-04-01T17:00:00.0000000Z","2019-04-01T18:00:00.0000000Z","2019-04-01T17:00:00.5300000Z","2019-04-01T17:59:59.4950000Z","4142.9","4770.46","4034.0","4134.35","2547.540456044","6203"
"2019-04-01T18:00:00.0000000Z","2019-04-01T19:00:00.0000000Z","2019-04-01T18:00:00.2150000Z","2019-04-01T18:59:58.1790000Z","4131.51","4762.03","4059.16041","4134.68","2647.024793821","5998"
"2019-04-01T19:00:00.0000000Z","2019-04-01T20:00:00.0000000Z","2019-04-01T19:00:00.0000000Z","2019-04-01T19:59:59.0000000Z","4115.15740623","4760.14","4061.13301","4133.8","2354.215465724","5567"
